Input-node Gene Symbol,Input-node GeneID,Output-node Gene Symbol,Output-node GeneID,Edge direction score
SMURF1,57154,ASH2L,9070,0.823
SUMO1,7341,JUN,3725,0.966
ADD1,118,MAP1LC3B,81631,0.984
KIAA1377,57562,NAT9,26151,0.778
SP100,6672,CBX3,11335,0.902
COL4A5,1287,RNF10,9921,0.998
CTCF,10664,HMGB1,3146,0.55
COPS5,10987,HIF1A,3091,0.902
PMAIP1,5366,MCL1,4170,0.798
CRELD1,78987,ATP5J2,9551,0.902
PTCH1,5727,CDC2,983,0.951
PRSS23,11098,PPIA,5478,0.862
DCP2,167227,DCP1A,55802,0.896
ACTG1,71,DSTN,11034,0.951
RARA,5914,NR0B2,8431,0.966
BAG4,9530,HSPA1A,3303,0.951
SNTB1,6641,KCNJ12,3768,0.951
RASSF5,83593,RAP1B,5908,0.732
PTK2,5747,F13A1,2162,0.589
STXBP2,6813,SNRPB,6628,0.964
TK1,7083,MPPED1,758,0.743
BAIAP2,10458,DIAPH1,1729,0.862
PABPC1,26986,SFRS12,140890,0.952
SYNE1,23345,CAPN1,823,0.909
NXF1,10482,STRAP,11171,0.951
KNG1,3827,CTSS,1520,0.967
ITGA2,3673,MMP1,4312,0.998
BTK,695,GNG2,54331,0.873
RPS6KB1,6198,CDC2,983,0.743
IL5RA,3568,JAK1,3716,0.994
PITX2,5308,HDAC1,3065,0.707
TPD52L1,7164,TPD52,7163,0.798
HSPA1A,3303,IKBKG,8517,0.901
FBN1,2200,FBLN2,2199,0.558
ECH1,1891,HTT,3064,0.951
GPBP1L1,60313,PLEKHF2,79666,0.895
PCSK5,5125,PRKCZ,5590,0.862
ITFG1,81533,TAF1D,79101,0.798
FBP1,2203,ATP5J2,9551,0.902
LSM3,27258,XRN2,22803,0.895
SNCA,6622,DOCK7,85440,0.951
PTPRC,5788,LCP2,3937,0.862
YWHAB,7529,SLC9A1,6548,0.743
GADD45A,1647,LMO4,8543,0.902
P2RY1,5028,SLC9A3R1,9368,1
POLR2G,5436,TAF15,8148,0.984
MDFIC,29969,PRKAR2A,5576,0.895
USP8,9101,RNF41,10193,0.952
H3F3A,3020,SUPT16H,11198,0.984
UBQLN4,56893,PBXIP1,57326,0.901
CD2,914,CD2AP,23607,0.984
IL2RB,3560,SHB,6461,0.999
CDT1,81620,CDK2,1017,0.707
PRKCZ,5590,CASP6,839,0.862
FXYD6,53826,TP53,7157,0.994
TIMP1,7076,RECQL5,9400,0.732
CCR6,1235,DEFB4,1673,0.998
HIPK2,28996,SKI,6497,0.984
HSPA8,3312,FTH1,2495,0.951
JAK2,3717,ABL1,25,0.822
RPA1,6117,RBM23,55147,0.732
PTK2,5747,DDX39,10212,0.901
PXN,5829,TUBA8,51807,0.951
GDF6,392255,SMAD1,4086,0.966
CASP8,841,CHUK,1147,0.595
CDH5,1003,DSP,1832,0.895
PDGFRB,5159,KRTAP4-12,83755,0.994
TRMT2A,27037,GADD45G,10912,0.605
MAPK1,5594,TGIF1,7050,0.984
TUB,7275,ABL1,25,0.756
UNC119,9094,PCDHA4,56144,0.743
PRKCI,5584,MAP2K5,5607,0.984
EEF1G,1937,SKIL,6498,0.901
EP300,2033,AR,367,0.55
JAK2,3717,STAT3,6774,0.909
HDAC9,9734,MEF2D,4209,0.984
IL1RAP,3556,PRPF40A,55660,0.967
TNFRSF11A,8792,TRAF2,7186,0.757
KDR,3791,PTPN11,5781,0.77
ITPR1,3708,PRKACA,5566,0.721
APOA1,335,TTR,7276,0.903
PTK2,5747,APC,324,0.951
CCDC33,80125,127557,127557,0.984
WASF2,10163,DOCK1,1793,0.964
A2M,2,PDGFB,5155,0.687
FUS,2521,THRA,7067,0.984
PRKCG,5582,DVL2,1856,0.951
TRIM28,10155,ZNF689,115509,0.966
C1orf103,55791,PRMT1,3276,0.743
APP,351,MAPK8IP1,9479,0.984
EEF1D,1936,IGLON5,402665,0.558
PRKDC,5591,JUN,3725,0.952
F12,2161,KRT1,3848,0.951
PRKG1,5592,PLCB3,5331,0.952
C1orf103,55791,BRMS1,25855,0.862
SMAD3,4088,FOXH1,8928,0.952
CDKN1A,1026,PCNA,5111,0.952
RECQL5,9400,MAPK8IP1,9479,0.966
PAEP,5047,C1orf103,55791,0.901
TLR4,7099,SIGIRR,59307,0.687
CD93,22918,KNG1,3827,0.994
LILRB1,10859,HLA-C,3107,0.994
DLG4,1742,ACTN2,88,0.967
TADA3L,10474,RFX1,5989,0.823
PAPPA,5069,SMAD2,4087,0.951
TAF4,6874,TAF12,6883,0.984
TNFRSF25,8718,MAPK1,5594,0.998
ACVR1B,91,IGSF1,3547,0.803
HDAC1,3065,RBL2,5934,0.902
PTPN6,5777,UBR5,51366,0.983
PDE3B,5140,YWHAB,7529,0.895
PTGES3,10728,ARNT,405,0.984
SNTA1,6640,DGKZ,8525,0.951
A2BP1,54715,RBM9,23543,0.951
SLC8A1,6546,YWHAQ,10971,0.732
NCOR1,9611,NR6A1,2649,0.984
SHB,6461,CRK,1398,0.974
CNN1,1264,CALM1,801,0.922
NCOR2,9612,HDAC1,3065,0.902
AP1B1,162,ATM,472,0.791
GRAP2,9402,KHDRBS1,10657,0.778
ESR1,2099,TRRAP,8295,0.984
FREQ,23413,DTX2,113878,0.951
TOB1,10140,SMAD3,4088,0.984
LUC7L,55692,TCERG1,10915,0.964
MMP7,4316,MBP,4155,0.862
CRKL,1399,CRK,1398,0.945
BAT3,7917,GSK3B,2932,0.901
DLG1,1739,ERBB4,2066,0.69
CENPJ,55835,YWHAG,7532,0.55
ARHGEF12,23365,IGF1R,3480,0.946
PLAUR,5329,LRP1B,53353,0.967
PRKDC,5591,TP53,7157,0.902
ATF2,1386,RB1,5925,0.707
TUBB,203068,STAU1,6780,0.951
CPNE4,131034,SKIL,6498,0.743
IRAK1,3654,VCPIP1,80124,0.951
C6orf47,57827,FGFR3,2261,0.997
AURKB,9212,INCENP,3619,0.895
SELPLG,6404,BACE1,23621,0.951
MYB,4602,EP300,2033,0.707
CACNA1B,774,PPM1A,5494,0.704
400714,400714,MYST2,11143,0.707
APOA1,335,ATP5B,506,0.903
ITGB4,3691,ERBB2IP,55914,0.951
MAG,4099,FN1,2335,0.901
YWHAG,7532,TP53,7157,0.902
FGG,2266,VTN,7448,0.692
CHAF1B,8208,CHAF1A,10036,0.895
YWHAQ,10971,BAD,572,0.901
COL4A2,1284,SKIL,6498,0.951
EPHB2,2048,GRIN2B,2904,0.967
ADAM17,6868,TNFSF11,8600,0.681
SRC,6714,PTPN18,26469,0.862
ESR2,2100,SP1,6667,0.966
AATF,26574,RB1,5925,0.707
VIM,7431,SIRT6,51548,0.951
DTX2,113878,RHOXF2,84528,0.883
PPARD,5467,PROX1,5629,0.984
INHBB,3625,IGSF1,3547,0.895
PDCD6,10016,CPNE2,221184,0.895
CASP3,836,SP1,6667,0.984
CDKN1A,1026,MCM10,55388,0.951
NFYA,4800,JUN,3725,0.55
COL8A1,1295,VCL,7414,0.901
MYF5,4617,MDFI,4188,0.901
UBE2I,7329,ARNT,405,0.984
ACTB,60,CPNE4,131034,0.901
CD4,920,CXCL12,6387,0.558
GRB10,2887,NEDD4,4734,0.862
ARHGDIB,397,RHOA,387,0.999
PCNA,5111,POLL,27343,0.732
ROCK1,6093,CDC25A,993,0.798
MED19,219541,MED17,9440,0.966
NDC80,10403,KLHL12,59349,0.984
PSMA3,5684,GFI1B,8328,0.966
TG,7038,CTSL1,1514,0.862
TPD52,7163,ANXA6,309,0.558
HRG,3273,PLG,5340,0.798
EED,8726,AEBP2,121536,0.952
SULT1E1,6783,C1orf103,55791,0.951
MEP1A,4224,KNG1,3827,0.692
SIAH1,6477,RBBP8,5932,0.901
ACVR2B,93,MSTN,2660,0.999
RGS2,5997,XRCC6,2547,0.901
FAM164C,79696,CCDC85B,11007,0.926
RAF1,5894,SPRY2,10253,0.901
CNOT8,9337,CNOT4,4850,0.902
PPP1R14A,94274,CSNK1G1,53944,0.895
LAT,27040,LCK,3932,0.897
CORT,1325,SSTR1,6751,0.692
HSPA9,3313,TP53,7157,0.984
NGFR,4804,PTPN13,5783,0.903
APP,351,SHC1,6464,0.897
TGFB1,7040,DCN,1634,0.862
GRIP1,23426,FLII,2314,0.558
HGS,9146,UBQLN4,56893,0.547
CSF3R,1441,SHC1,6464,1
LOC170082,170082,ZNF167,55888,0.952
GNAI2,2771,CAV1,857,0.77
CD93,22918,MBL2,4153,0.998
CTNNB1,1499,TCF7L2,6934,0.984
XRCC6,2547,MSX2,4488,0.966
EWSR1,2130,C10orf12,26148,0.862
SP1,6667,ZBTB7A,51341,0.984
SNTA1,6640,DTNA,1837,0.984
TAF9,6880,NFATC2,4773,0.55
ZEB1,6935,DRAP1,10589,0.966
BCL6,604,JUNB,3726,0.55
HDAC5,10014,RFXANK,8625,0.984
ERBB2,2064,UBB,7314,0.967
PIGR,5284,CD79A,973,0.798
CCDC85B,11007,SCNM1,79005,0.558
CHUK,1147,HSP90AB1,3326,0.901
GNAO1,2775,OPRM1,4988,0.59
RPLP1,6176,PFDN1,5201,0.743
ESR1,2099,NRIP1,8204,0.901
ALK,238,SHC3,53358,0.998
FAM107A,11170,USHBP1,83878,0.964
REN,5972,KCTD15,79047,0.761
SMN2,6607,POLR2A,5430,0.864
GTF3C1,2975,CSNK1E,1454,0.707
RPS27A,6233,SMURF1,57154,0.984
NR2C2,7182,HNF4A,3172,0.901
FMR1,2332,FLI1,2313,0.902
PIK3R1,5295,HGS,9146,0.951
YWHAZ,7534,FOXO3,2309,0.984
RBPMS,11030,TRIP13,9319,0.936
DYNLL1,8655,PARD3,56288,0.589
TMEM161A,54929,NR1H3,10062,0.896
NPPC,4880,EDN1,1906,0.974
GTF2I,2969,SMAD2,4087,0.901
PRKG1,5592,SF1,7536,0.952
TRAFD1,10906,TRAF1,7185,0.704
GADD45A,1647,HIST4H4,121504,0.952
CCDC130,81576,ZNF165,7718,0.952
PGR,5241,TRIM24,8805,0.902
NUDT21,11051,JMJD1C,221037,0.732
ARAP1,116985,XRCC6,2547,0.862
YBX1,4904,TP53,7157,0.55
RXRB,6257,RARB,5915,0.902
TUBA4A,7277,RAB8B,51762,0.862
BRCA1,672,E2F4,1874,0.984
C1orf103,55791,GSTM4,2948,0.821
STAT2,6773,NDEL1,81565,0.743
PRKAR2A,5576,MYCBPAP,84073,0.732
BMPR1B,658,UBA52,7311,0.988
EPAS1,2034,ARNTL2,56938,0.952
ST3GAL3,6487,TTR,7276,0.732
RGS2,5997,RP4-691N24.1,22981,0.901
MAP3K14,9020,RPL5,6125,0.743
BMPR1B,658,BMP2,650,0.983
ERBB4,2066,RNF41,10193,0.989
PRKG1,5592,SEPT3,55964,0.901
HDAC1,3065,SPEN,23013,0.902
ATF1,466,GABPA,2551,0.902
CTSD,1509,SHBG,6462,0.862
ADCY6,112,RAF1,5894,0.743
CD14,929,LGALS3BP,3959,0.895
POLD2,5425,PCNA,5111,0.984
SDC2,6383,TNFSF13,8741,0.891
SNCA,6622,CSNK1D,1453,0.984
ATN1,1822,AGRN,375790,0.743
MSX2,4488,DLX2,1746,0.984
RASSF1,11186,BTRC,8945,0.901
STAT3,6774,BRCA1,672,0.951
STX1A,6804,SNAP25,6616,0.952
PAX6,5080,SOX10,6663,0.966
BRCA1,672,POLR2K,5440,0.895
SF3B1,23451,SMAD1,4086,0.984
BRCA1,672,UBE2L3,7332,0.793
HDAC3,8841,TBL1XR1,79718,0.951
CSNK2B,1460,DALRD3,55152,0.895
RB1,5925,HDAC3,8841,0.707
EXOC8,149371,USHBP1,83878,0.67
NCK1,4690,SOCS1,8651,0.948
SH3BP2,6452,FGFR1,2260,0.821
PHAX,51808,MKNK1,8569,0.558
SRC,6714,BCR,613,0.743
PSAP,5660,PRAGMIN,157285,0.798
TCF7L2,6934,EP300,2033,0.952
CREBBP,1387,GABPA,2551,0.966
SYN1,6853,PFN2,5217,0.558
CSF3R,1441,HCK,3055,0.999
A2M,2,UFD1L,7353,0.903
EIF4E,1977,MKNK2,2872,0.902
PRKCA,5578,CD5,921,0.743
COL3A1,1281,PCOLCE,5118,0.732
GRB2,2885,DCTN1,1639,0.951
VIM,7431,BRD1,23774,0.984
RPP14,11102,LIMD1,8994,0.895
GFAP,2670,PDLIM1,9124,0.951
EP300,2033,HOXA10,3206,0.872
FABP4,2167,CHD3,1107,0.951
RNF7,9616,CUL1,8454,0.984
IMMT,10989,STX5,6811,0.895
DDR1,780,BEND5,79656,0.999
UBXN1,51035,SMAD1,4086,0.984
SH2B3,10019,GRB2,2885,0.974
DOK1,1796,SH2D1A,4068,0.798
CEBPA,1050,ATF2,1386,0.936
MAPK1,5594,SREBF2,6721,0.984
AQP1,358,KRTAP4-12,83755,0.901
CASP3,836,BCL2,596,0.951
ESRRA,2101,PNRC2,55629,0.966
PTPRN,5798,NOS1,4842,0.596
CARD11,84433,MAP3K7IP1,10454,0.667
PRR13,54458,KLHL12,59349,0.964
VAV3,10451,INSR,3643,0.845
NR1H2,7376,MED1,5469,0.984
SECISBP2,79048,ATXN7L3,56970,0.895
BARD1,580,ZHX1,11244,0.901
CALD1,800,CALM2,805,0.743
MED28,80306,USHBP1,83878,0.966
SETDB1,9869,ATF7IP2,80063,0.862
PLEC1,5339,SH3GL1,6455,0.547
NPM1,4869,RPGR,6103,0.798
C3,718,ABL1,25,0.761
TPPP,11076,GSK3B,2932,0.895
MKL1,57591,SRF,6722,0.964
COPS5,10987,NR4A3,8013,0.984
GNAS,2778,PTGIR,5739,0.735
PHC1,1911,GMNN,51053,0.823
RAPGEF4,11069,ATXN1,6310,0.951
RHOA,387,ROCK1,6093,0.883
TCOF1,6949,MKNK2,2872,0.896
SRC,6714,CAV1,857,0.589
NR2F2,7026,BCL11B,64919,0.952
EEF1A1,1915,TK1,7083,0.901
FBXW11,23291,GLI2,2736,0.984
NP,4860,TFB2M,64216,0.984
STC2,8614,AIFM1,9131,0.732
ND4,4538,SMAD5,4090,0.984
SOX5,6660,SOX6,55553,0.707
PRMT2,3275,HNRNPUL1,11100,0.558
TGFBR1,7046,CSNK1A1,1452,0.901
TFDP1,7027,SERTAD2,9792,0.902
CCL14,6358,DDX39,10212,0.862
BBS4,585,PCM1,5108,0.895
TK1,7083,TP53,7157,0.966
NCK2,8440,AXIN1,8312,0.845
GIPC1,10755,ZNF408,79797,0.952
CHPF,79586,PIN1,5300,0.901
MYD88,4615,UBE2I,7329,0.967
UNC119,9094,CKMT2,1160,0.558
NCOA6,23054,RXRA,6256,0.55
CCR4,1233,ADRBK1,156,0.999
NAP1L5,266812,KAT5,10524,0.951
LARP1,23367,YWHAG,7532,0.707
SMA4,11039,EEF1A1,1915,0.743
PARD6B,84612,YWHAZ,7534,0.909
CD93,22918,COL1A2,1278,1
SH3GL3,6457,SH3KBP1,30011,0.902
AGTRAP,57085,PBX3,5090,0.984
SUMO1,7341,HSF1,3297,0.902
MED6,10001,SMAD1,4086,0.55
IRAK1,3654,RIPK2,8767,0.862
MAPK1,5594,SMAD1,4086,0.966
PPIA,5478,PPP3CA,5530,0.951
SFRS10,6434,SFRS12,140890,0.984
RAE1,8480,DDX24,57062,0.761
SNRNP200,23020,CHMP1B,57132,0.984
CD4,920,CTSD,1509,0.901
ANKRA2,57763,HDAC5,10014,0.862
GABPB1,2553,ATF1,466,0.707
TFG,10342,CRMP1,1400,0.965
ITGB2,3689,COPS3,8533,0.967
EFEMP2,30008,TP53,7157,0.952
TRAF2,7186,TRAF3IP2,10758,0.996
PLD2,5338,ACTB,60,0.951
PRNP,5621,APLP1,333,0.994
MYD88,4615,IRF7,3665,0.967
STAT3,6774,CCND1,595,0.951
SMURF1,57154,UBTF,7343,0.55
MYLK,4638,PRKG2,5593,0.798
YBX1,4904,NFYB,4801,0.966
USP7,7874,CREB3L3,84699,0.984
DOK4,55715,FYN,2534,0.945
VIM,7431,TRIM28,10155,0.984
PRPS1,5631,GORASP2,26003,0.964
KRT8,3856,PLAT,5327,0.883
SASH3,54440,SMAD4,4089,0.595
RPS6KA1,6195,CREB1,1385,0.966
EDNRB,1910,GNA13,10672,0.997
TGFBR1,7046,PCTK2,5128,0.862
MAP3K7,6885,VISA,57506,0.732
JAK2,3717,IRS2,8660,0.967
ATR,545,TREX1,11277,0.926
RFC5,5985,COPS6,10980,0.595
PDCD6IP,10015,CHMP4B,128866,0.951
ELA2,1991,F5,2153,0.883
GNG2,54331,SMURF2,64750,0.922
UBQLN1,29979,CD99,4267,0.862
ARRB2,409,MAPK1,5594,0.931
SCTR,6344,SCT,6343,0.532
HSPA1A,3303,APEX1,328,0.951
PPFIBP2,8495,DTNB,1838,0.895
HAND2,9464,GATA4,2626,0.984
JAM2,58494,TJP1,7082,0.862
BMP7,655,SOSTDC1,25928,0.896
40179,6303,KAT5,10524,0.901
MAD2L1,4085,ESR2,2100,0.862
CUL1,8454,E2F1,1869,0.966
MED8,112950,MED17,9440,0.8
FAF1,11124,ANXA7,310,0.743
CALCOCO2,10241,PIAS4,51588,0.902
TFG,10342,GPRASP2,114928,0.629
ACVR1,90,AP2B1,163,0.951
GNB5,10681,TSC22D1,8848,0.984
NR3C1,2908,NRIP1,8204,0.901
SPARC,6678,ZNF579,163033,0.732
PLSCR1,5359,PLSCR4,57088,0.895
CHRM2,1129,GNA14,9630,0.993
IGF1R,3480,GIGYF1,64599,0.951
KAT2B,8850,RARA,5914,0.547
SMC1A,8243,ATM,472,0.743
ITK,3702,TGFBR1,7046,0.545
TANK,10010,AKAP8,10270,0.895
TOB1,10140,SMAD4,4089,0.951
NCK1,4690,DOK2,9046,0.976
MMP2,4313,TGFB1,7040,0.822
STAT3,6774,ELP2,55250,0.896
IPO11,51194,RPL12,6136,0.558
MAPK1,5594,CEBPB,1051,0.951
LCK,3932,LCP2,3937,0.862
BRF1,2972,TBP,6908,0.707
MAPK6,5597,XPO1,7514,0.862
MCM10,55388,CDC5L,988,0.964
C5AR1,728,ARRB2,409,0.997
NFKBIB,4793,RELA,5970,0.862
GPC3,2719,IGF2,3481,0.895
ATXN1,6310,FLJ10404,54540,0.743
APC,324,CSNK1E,1454,0.984
ITCH,83737,OCLN,4950,0.798
CHMP4B,128866,VPS24,51652,0.902
LSM2,57819,ZBTB16,7704,0.951
TP53I3,9540,UBR1,197131,0.558
FYN,2534,PRKCD,5580,0.87
GABPB1,2553,CIC,23152,0.55
GADD45G,10912,CDKN1A,1026,0.966
ATN1,1822,RAD54L2,23132,0.862
PRKCZ,5590,IKBKB,3551,0.901
CTNNB1,1499,DVL3,1857,0.984
FAM134A,79137,MAP1LC3B,81631,0.984
RANBP9,10048,SMAD2,4087,0.951
ANGPTL1,9068,TEK,7010,0.996
RBM9,23543,QKI,9444,0.966
SHC1,6464,STAT5B,6777,0.951
DNMT3L,29947,HDAC1,3065,0.984
CREBBP,1387,MSH6,2956,0.895
INSR,3643,CBL,867,0.901
SDCBP2,27111,TIFA,92610,0.862
PRKCE,5581,PDPK1,5170,0.984
HMOX2,3163,COPS6,10980,0.901
TRAF3IP1,26146,TRAF3,7187,0.829
MPDZ,8777,CAMK2A,815,0.951
NCOR2,9612,MYBL2,4605,0.936
ISL1,3670,LHX1,3975,0.984
CREBBP,1387,NFE2L2,4780,0.823
SFRS12,140890,SAFB,6294,0.936
GDF9,2661,RSRC1,51319,0.798
FYN,2534,TUBA1B,10376,0.951
RGS2,5997,TUBB2B,347733,0.945
DYNLL2,140735,HOMER3,9454,0.732
GPRASP2,114928,SMPD3,55512,0.967
MKNK1,8569,EIF4E,1977,0.952
SUGT1,10910,SKP1,6500,0.895
NFKB1,4790,MEN1,4221,0.966
CRMP1,1400,ALDH2,217,0.51
PTPN1,5770,BCAR1,9564,0.901
MYF5,4617,ID2,3398,0.902
FAS,355,C14orf1,11161,0.983
MMP2,4313,IL1B,3553,0.641
RASGRP2,10235,FAM118B,79607,0.732
EIF2S2,8894,APLP1,333,0.951
CASP2,835,RXRA,6256,0.952
RRAS,6237,PPP2CA,5515,0.951
CCNA2,890,UBTF,7343,0.936
SMAD3,4088,PRKAR1B,5575,0.558
GRB2,2885,SOS1,6654,0.901
ATXN1L,342371,MEOX2,4223,0.966
ATR,545,E2F1,1869,0.984
GNB3,2784,TGFBR1,7046,0.575
BMPR1B,658,LZTR1,8216,0.994
MAP2K1,5604,MYC,4609,0.984
GNB2,2783,TSC22D1,8848,0.984
GDF9,2661,SMN1,6606,0.821
MYC,4609,MAX,4149,0.952
CREBBP,1387,TP53,7157,0.55
FKBP4,2288,IRF4,3662,0.952
PSMA5,5686,MESDC2,23184,0.919
ITGAX,3687,ITGB2,3689,0.997
PTPN1,5770,CLK2,1196,0.895
CLU,1191,CLUAP1,23059,0.862
PTPN6,5777,CXCR4,7852,0.842
AP2B1,163,AP2A2,161,0.732
BRCA1,672,RAD51,5888,0.595
RGS2,5997,ARFGAP1,55738,0.951
NGB,58157,GNAI2,2771,0.922
CDC27,996,SMAD3,4088,0.984
SMAD4,4089,EP300,2033,0.984
EGFR,1956,S100A7,6278,0.951
EPHA2,1969,PTK2,5747,0.999
LSM1,27257,EXOSC6,118460,0.967
SIGLEC7,27036,GRB2,2885,0.942
STAT3,6774,HSP90AA1,3320,0.545
PGR,5241,NCOA3,8202,0.55
PLCG2,5336,GSN,2934,0.743
HBXIP,10542,EEF1A1,1915,0.743
H2AFY,9555,ATXN1L,342371,0.862
NMI,9111,MYCN,4613,0.902
MLF1IP,79682,NDUFS2,4720,0.798
SMURF2,64750,RAB13,5872,0.708
MAP2K7,5609,ZAK,51776,0.966
CALM1,801,KRAS,3845,0.901
TFE3,7030,TFEC,22797,0.952
ATXN1,6310,ZBTB32,27033,0.966
DVL2,1856,A2BP1,54715,0.901
PRKCG,5582,EXOC5,10640,0.895
CTNNB1,1499,CDH3,1001,0.895
RAP1A,5906,RASA3,22821,0.895
SWAP70,23075,NCL,4691,0.984
C1orf103,55791,WWC1,23286,0.902
CDK5RAP1,51654,EXOSC3,51010,0.605
CTSG,1511,PPBP,5473,0.945
BAG1,573,AR,367,0.984
RFC5,5985,PCNA,5111,0.984
FGR,2268,DAB2,1601,0.951
HSF1,3297,CREBBP,1387,0.984
CDC25C,995,NEDD4,4734,0.743
AFTPH,54812,AP1G2,8906,0.896
ESRRA,2101,NCOA3,8202,0.984
LRSAM1,90678,TSG101,7251,0.862
GSN,2934,VCL,7414,0.901
MBP,4155,PRKCI,5584,0.951
BIN1,274,TP73,7161,0.984
ATN1,1822,MYST4,23522,0.952
GPRASP1,9737,HBXIP,10542,0.822
HNRNPC,3183,DHX9,1660,0.743
PIAS1,8554,TP53,7157,0.55
BAI2,576,GABPB1,2553,0.999
DTNBP1,84062,CCND3,896,0.964
CDK9,1025,SUPT5H,6829,0.823
STAT5A,6776,PPIB,5479,0.743
RPS3A,6189,DDIT3,1649,0.984
SLC8A1,6546,YWHAE,7531,0.895
FBLN2,2199,ATN1,1822,0.951
STK3,6788,RAF1,5894,0.895
PTPRF,5792,BCAR1,9564,0.743
CAP2,10486,PRPF40A,55660,0.895
SFRS7,6432,CCNL2,81669,0.558
TP53,7157,THAP8,199745,0.901
PKM2,5315,ANXA7,310,0.901
KCNK3,3777,YWHAH,7533,0.798
FZD7,8324,UBQLN1,29979,0.999
RALGDS,5900,RAP1GAP,5909,0.732
GSK3B,2932,FEN1,2237,0.743
CCDC14,64770,MAGEA11,4110,0.901
PEA15,8682,PDPK1,5170,0.926
SUMO2,6613,PSMD11,5717,0.743
BRCA1,672,IFI16,3428,0.951
SYT2,127833,SYNCRIP,10492,0.913
NOTCH2,4853,SMAD9,4093,0.967
GRIN1,2902,MYH9,4627,0.862
POU3F4,5456,POU3F3,5455,0.902
LCK,3932,PSRC1,84722,0.732
FXR2,9513,LCMT1,51451,0.798
RPL13,6137,MAP2K3,5606,0.732
KPNA2,3838,NFKBIB,4793,0.936
PRDX1,5052,MYC,4609,0.999
FN1,2335,FST,10468,0.862
ESRRA,2101,ESRRG,2104,0.966
ITPKB,3707,CALM1,801,0.589
RAP1GAP,5909,MAP1LC3B,81631,0.952
TRIM37,4591,PNKP,11284,0.732
DLGAP4,22839,UBC,7316,0.951
RAC1,5879,TCF20,6942,0.984
RB1,5925,RUNX2,860,0.55
TNFSF11,8600,NFKB1,4790,0.984
ASCC2,84164,AOF2,23028,0.951
RCC1,1104,DDAH2,23564,0.952
XRN1,54464,CHD4,1108,0.952
PRKCE,5581,GJA1,2697,0.798
HDAC4,9759,BCL6,604,0.902
SLC9A3R2,9351,SLC34A1,6569,0.743
CALR,811,ITGA2B,3674,0.618
BCAR1,9564,HCK,3055,0.901
HIPK2,28996,NKX2-1,7080,0.984
ESR1,2099,GTF2H1,2965,0.902
RNF4,6047,PATZ1,23598,0.984
ANXA7,310,CPNE2,221184,0.595
TUBA4A,7277,SIRT2,22933,0.951
TFPI2,7980,SKIL,6498,0.951
CALM1,801,TTN,7273,0.743
CCNT1,904,AFF4,27125,0.902
STX4,6810,SNAP23,8773,0.926
MAPK6,5597,ZNF671,79891,0.984
COPB1,1315,TRIM37,4591,0.952
PRSS2,5645,APP,351,0.942
ZFYVE9,9372,ZKSCAN1,7586,0.952
RHOQ,23433,CDC42EP1,11135,0.895
TAF1,6872,TAF11,6882,0.984
EEF1A1,1915,C11orf79,54949,0.732
SHPRH,257218,YWHAG,7532,0.984
PPP1CA,5499,TP53,7157,0.902
AR,367,SMAD1,4086,0.966
ZAP70,7535,CARD11,84433,0.903
AR,367,CCNH,902,0.902
SPTAN1,6709,ACTB,60,0.951
ATN1,1822,SPAG5,10615,0.595
GSTP1,2950,MAPK8,5599,0.743
PIK3R1,5295,NFKBIA,4792,0.951
RIPK2,8767,SMAD4,4089,0.951
MCM2,4171,GTF2H1,2965,0.864
CSNK2A1,1457,BRF1,2972,0.984
PARD6A,50855,PLCB3,5331,0.984
IGSF1,3547,RANBP10,57610,0.895
TBP,6908,SNAPC1,6617,0.952
MAPK14,1432,SMAD7,4092,0.952
KCTD13,253980,VTA1,51534,0.743
CHEK1,1111,CDC25A,993,0.895
MAD1L1,8379,SIN3B,23309,0.966
POLR1A,25885,RRN3,54700,0.952
LYN,4067,PLCG2,5336,0.951
SLC22A11,55867,SLC9A3R1,9368,0.942
PAX3,5077,MEOX2,4223,0.823
CHD3,1107,TP73,7161,0.966
MDM2,4193,HIF1A,3091,0.984
CDC42,998,KTN1,3895,0.558
CDX2,1045,CDK2,1017,0.707
NOSIP,51070,NOS3,4846,0.798
EPB42,2038,CNO,55330,0.895
RAB11FIP2,22841,RAB11FIP4,84440,0.895
PTN,5764,MAD2L1BP,9587,0.862
DNAJB1,3337,NQO1,1728,0.951
HMGA1,3159,ELF1,1997,0.902
CHUK,1147,NFKBIB,4793,0.966
ANXA5,308,EED,8726,0.862
AXIN1,8312,UTP14A,10813,0.743
ASGR1,432,HSP90B1,7184,0.982
XRCC6,2547,MRE11A,4361,0.862
RELA,5970,PML,5371,0.901
PTPRH,5794,PTK2,5747,0.999
IL8RB,3579,RGS12,6002,0.965
GRM3,2913,GRASP,160622,0.949
RNF11,26994,EPN2,22905,0.558
HMGB1,3146,SOX18,54345,0.984
REPS1,85021,HSF1,3297,0.952
IL12RB2,3595,IL12B,3593,0.995
FHOD1,29109,NCOA6,23054,0.984
ITGAV,3685,NID1,4811,0.951
FGF2,2247,SDC3,9672,0.629
NR3C1,2908,POU1F1,5449,0.984
SAFB2,9667,SORBS3,10174,0.896
YWHAG,7532,NOLC1,9221,0.901
CHEK2,11200,PPP2R5D,5528,0.927
BCOR,54880,HDAC1,3065,0.707
EHMT2,10919,H3F3B,3021,0.558
NR3C2,4306,PROX1,5629,0.952
ARHGAP21,57584,RHOA,387,0.798
VTN,7448,PRKCG,5582,0.903
RGS2,5997,COPB2,9276,0.798
