Input-node Gene Symbol,Input-node GeneID,Output-node Gene Symbol,Output-node GeneID,Edge direction score
MAP2K4,6416,MAPK10,5602,0.862
RB1,5925,NCOA6,23054,0.936
BCL2,596,CDK2,1017,0.984
S1PR1,1901,CAV1,857,0.946
WIPF1,7456,PIK3CG,5294,0.895
TGFBR1,7046,CHN2,1124,0.901
CHUK,1147,FKBP5,2289,0.895
ATM,472,NBN,4683,0.951
AMPH,273,CLTC,1213,0.901
YWHAG,7532,CENPJ,55835,0.743
ESR1,2099,NR0B1,190,0.984
YWHAB,7529,IKBKB,3551,0.743
STK11,6794,MARK2,2011,0.895
TOPBP1,11073,RAD9A,5883,0.558
CCDC85B,11007,IKZF5,64376,0.984
IMPA2,3613,HERPUD1,9709,0.895
SH3BP5,9467,MAPK10,5602,0.798
ZNF250,58500,127557,127557,0.984
CTSS,1520,PLCG1,5335,0.942
TNFRSF17,608,TRAF1,7185,1
ZNF512B,57473,SUPT5H,6829,0.966
MSH2,4436,MAX,4149,0.952
RBBP7,5931,ING1,3621,0.768
MDFI,4188,HOXB9,3219,0.902
40179,6303,UBE2D3,7323,0.984
CTDP1,9150,ERH,2079,0.798
SUMO1,7341,DNMT3B,1789,0.984
THRA,7067,COPS2,9318,0.902
RGS4,5999,PLCB1,23236,0.681
CALM3,808,MYOG,4656,0.984
EZR,7430,ACTC1,70,0.908
MAP3K7,6885,EZH2,2146,0.902
HLF,3131,CEBPG,1054,0.966
GJA3,2700,MIP,4284,0.951
RB1,5925,TRIP11,9321,0.902
HDAC1,3065,SP1,6667,0.55
SDC4,6385,PRKCA,5578,0.909
FRAP1,2475,FKBP1A,2280,0.732
FFAR1,2864,GNAQ,2776,0.997
PRKDC,5591,SP1,6667,0.984
MAPT,4137,MARK4,57787,0.732
IPO13,9670,PAX6,5080,0.966
RPSA,3921,SUMO4,387082,0.909
PDGFRB,5159,GRB7,2886,0.994
CTNND1,1500,YWHAG,7532,0.952
ROBO1,6091,SLIT2,9353,0.733
MGMT,4255,CREBBP,1387,0.984
TAF1C,9013,TRIM24,8805,0.863
PTK2B,2185,STAT3,6774,0.681
ZXDC,79364,NR1H3,10062,0.55
CDH5,1003,JUP,3728,0.951
SMAD9,4093,EXPH5,23086,0.732
DOK1,1796,FYN,2534,0.945
ZAP70,7535,SH3BP2,6452,0.641
VASP,7408,KPNB1,3837,0.901
ARR3,407,DVL2,1856,0.901
PTPN12,5782,PSTPIP1,9051,0.966
PPP2R1A,5518,ARIH2,10425,0.936
ACTB,60,H2AFX,3014,0.595
TOM1L1,10040,PIK3R1,5295,0.994
UBQLN4,56893,SMARCB1,6598,0.952
AKAP11,11215,PRKAR2B,5577,0.558
ATXN1,6310,SIX5,147912,0.951
ARHGAP1,392,BNIPL,149428,0.927
L1CAM,3897,NCAN,1463,0.862
RBM12,10137,TBC1D4,9882,0.984
PAK7,57144,FHL3,2275,0.558
C1orf103,55791,PSPC1,55269,0.895
PSMA1,5682,RAD54B,25788,0.558
TUBB2A,7280,CHGB,1114,0.798
MAP3K7IP1,10454,MAPK11,5600,0.951
IFNAR1,3454,PIK3R1,5295,0.928
RHOQ,23433,WASL,8976,0.605
UBE2I,7329,ATF2,1386,0.984
LILRB1,10859,HLA-B,3106,1
ATM,472,STK11,6794,0.605
NFKBIA,4792,SKP1,6500,0.667
RAB11FIP2,22841,RAB11B,9230,0.732
TJP1,7082,CNKSR2,22866,0.895
IMMT,10989,NEK2,4751,0.667
SET,6418,HMGB2,3148,0.966
VIPR2,7434,VIP,7432,0.998
PPP1CC,5501,HCFC1,3054,0.952
SYK,6850,SLC4A1,6521,0.832
SERPINB9,5272,TP53,7157,0.984
UNC119,9094,ERH,2079,0.951
C3,718,CR1,1378,0.967
C1orf103,55791,NHP2L1,4809,0.862
SYTL4,94121,RAB8A,4218,0.895
CDK9,1025,MED21,9412,0.936
PAPPA2,60676,ATF7IP,55729,0.64
TBP,6908,TAF5,6877,0.966
